old_url,new_url,wp_id,bb_id,title
"/events/15th-annual-coconut-point-art-festival/","https://brakebee.com/events/427?from=oaf",14593,427,"15th Annual Coconut Point Art Festival"
"/events/15th-annual-lake-dillon-art-festival/","https://brakebee.com/events/431?from=oaf",14597,431,"15th Annual Lake Dillon Art Festival"
"/events/18th-annual-alexandria-old-town-art-festival/","https://brakebee.com/events/450?from=oaf",14617,450,"18th Annual Alexandria Old Town Art Festival"
"/events/2024-autumn-festival-an-arts-crafts-affair-ralston-ne/","https://brakebee.com/events/588?from=oaf",29021,588,"2024 Autumn Festival, An Arts &amp; Crafts Affair - Ralston, NE"
"/events/2024-autumn-festival-an-arts-crafts-affair-shakopee-mn/","https://brakebee.com/events/589?from=oaf",29022,589,"2024 Autumn Festival, An Arts &amp; Crafts Affair - Shakopee, MN"
"/events/2024-autumn-festival-an-arts-crafts-affair-sioux-falls-sd/","https://brakebee.com/events/590?from=oaf",29023,590,"2024 Autumn Festival, An Arts &amp; Crafts Affair - Sioux Falls, SD"
"/events/2024-spring-festival-an-arts-crafts-affair/","https://brakebee.com/events/559?from=oaf",28238,559,"2024 Spring Festival, An Arts &amp; Crafts Affair"
"/events/2024-spring-festival-an-arts-crafts-affair-2/","https://brakebee.com/events/559?from=oaf",28241,559,"2024 Spring Festival, An Arts &amp; Crafts Affair"
"/events/26th-annual-spring-carefree-fine-art-festival/","https://brakebee.com/events/435?from=oaf",14602,435,"26th Annual Spring Carefree Fine Art Festival"
"/events/27th-annual-fall-carefree-fine-art-and-wine-festival/","https://brakebee.com/events/448?from=oaf",14615,448,"27th Annual Fall Carefree Fine Art and Wine Festival"
"/events/28th-annual-fall-carefee-fine-art-and-wine-festival/","https://brakebee.com/events/434?from=oaf",14600,434,"28th Annual Fall Carefee Fine Art and Wine Festival"
"/events/28th-annual-winter-carefree-fine-art-wine-festival/","https://brakebee.com/events/444?from=oaf",14611,444,"28th Annual Winter Carefree Fine Art &amp; Wine Festival"
"/events/31st-annual-downtown-stuart-art-festival/","https://brakebee.com/events/426?from=oaf",14592,426,"31st Annual Downtown Stuart Art Festival"
"/events/32nd-annual-winter-carefree-az-fine-art-wine-festival/","https://brakebee.com/events/581?from=oaf",28965,581,"32nd Annual Winter Carefree AZ Fine Art &amp; Wine Festival"
"/events/33rd-annual-las-olas-art-fair/","https://brakebee.com/events/449?from=oaf",14616,449,"33rd Annual Las Olas Art Fair"
"/events/3rd-annual-downtown-chandler-fine-art-wine-festival/","https://brakebee.com/events/523?from=oaf",26771,523,"3rd Annual Downtown Chandler Fine Art  and Wine Festival"
"/events/4th-annual-downtown-chandler-az-fine-art-and-wine/","https://brakebee.com/events/598?from=oaf",29091,598,"4th Annual Downtown Chandler AZ Fine Art and WIne"
"/events/4th-annual-evergreen-mountain-art-celebration/","https://brakebee.com/events/432?from=oaf",14598,432,"4th Annual Evergreen Mountain Art Celebration"
"/events/4th-ave-street-fair/","https://brakebee.com/events/483?from=oaf",24287,483,"4th Ave Street Fair"
"/events/62nd-annual-tubac-festival-of-arts/","https://brakebee.com/events/469?from=oaf",18138,469,"62nd Annual Tubac Festival of Arts"
"/events/9th-annual-surprise-fine-arts-and-wine-festival/","https://brakebee.com/events/447?from=oaf",14614,447,"9th Annual Surprise Fine Arts and Wine Festival"
"/events/alexandria-mn-art-in-the-park/","https://brakebee.com/events/500?from=oaf",25139,500,"Alexandria MN Art in the Park"
"/events/litchfield-park-art-wine-festival-next-to-the-wigwam-resort-in-litchfield-park-arizona/","https://brakebee.com/events/503?from=oaf",26412,503,"An Art and Wine Festival In Litchfield Park"
"/events/an-art-and-wine-festival-in-litchfield-park/","https://brakebee.com/events/503?from=oaf",27325,503,"An Art and Wine Festival in Litchfield Park"
"/events/ann-harbor-holiday-art-fair/","https://brakebee.com/events/437?from=oaf",14604,437,"Ann Harbor Holiday Art Fair"
"/events/appleton-wi-art-at-the-park/","https://brakebee.com/events/499?from=oaf",25092,499,"Appleton WI Art at the Park"
"/events/appleton-wi-art-in-the-park/","https://brakebee.com/events/485?from=oaf",24462,485,"Appleton WI Art in the Park"
"/events/art-at-the-big-red-barn-at-heber-az/","https://brakebee.com/events/568?from=oaf",28792,568,"Art at the Big Red Barn at Heber, Arizona"
"/events/art-at-the-glen-town-center-at-glenview-illinois/","https://brakebee.com/events/542?from=oaf",27252,542,"Art at the Glen Town Center at Glenview Illinois"
"/events/art-in-the-park-2/","https://brakebee.com/events/461?from=oaf",17992,461,"Art in the Park"
"/events/art-in-the-park/","https://brakebee.com/events/461?from=oaf",17061,461,"Art in the Park"
"/events/art-in-the-park-pagosa-springs-colorado/","https://brakebee.com/events/565?from=oaf",28439,565,"Art in the Park - Pagosa Springs, Colorado"
"/events/art-in-the-park-at-boulder-city/","https://brakebee.com/events/511?from=oaf",28975,511,"Art In The Park at Boulder City"
"/events/art-in-the-park-at-boulder-city-2/","https://brakebee.com/events/511?from=oaf",26528,511,"Art In The Park at Boulder City"
"/events/artstreet-road-show-2020/","https://brakebee.com/events/455?from=oaf",14622,455,"ARTSTREET ROAD SHOW 2020"
"/events/art-at-the-big-red-barn-heber-arizona/","https://brakebee.com/events/570?from=oaf",28800,570,"August Art at The Big Red Barn in August Heber Arizona"
"/events/autumn-festival-an-arts-crafts-affair-2/","https://brakebee.com/events/486?from=oaf",24552,486,"Autumn Festival, An Arts & Crafts Affair"
"/events/autumn-festival-an-arts-crafts-affair/","https://brakebee.com/events/486?from=oaf",24550,486,"Autumn Festival, An Arts &amp; Crafts Affair"
"/events/autumn-festival-an-arts-crafts-affair-3/","https://brakebee.com/events/486?from=oaf",24553,486,"Autumn Festival, An Arts &amp; Crafts Affair"
"/events/avon-art-celebration/","https://brakebee.com/events/430?from=oaf",14596,430,"Avon Art Celebration"
"/events/avon-arts-celebration/","https://brakebee.com/events/551?from=oaf",27499,551,"Avon Arts Celebration in Colorado"
"/events/barrington-art-festival-barrington-illinois-2/","https://brakebee.com/events/530?from=oaf",27119,530,"Barrington Art Festival - Barrington Illinois"
"/events/bayshore-makers-market-in-glendale-wisconsin/","https://brakebee.com/events/536?from=oaf",27176,536,"Bayshore Makers Market in Glendale Wisconsin"
"/events/beaux-arts-fair/","https://brakebee.com/events/446?from=oaf",14613,446,"Beaux Arts Fair"
"/events/broadmoor-traditions-fine-art-festival/","https://brakebee.com/events/549?from=oaf",27494,549,"Broadmoor Traditions Fine Art Festival"
"/events/brookings-sd-brookings-summer-arts-festival/","https://brakebee.com/events/497?from=oaf",25039,497,"Brookings SD Brookings Summer Arts Festival"
"/events/buffalo-roundup-arts-festival/","https://brakebee.com/events/567?from=oaf",28441,567,"Buffalo Roundup Arts Festival"
"/events/burr-ridge-art-fair/","https://brakebee.com/events/534?from=oaf",27149,534,"Burr Ridge Art Fair In Burr Ridge Illinois"
"/events/carefree-az-fine-art-and-wine-festival-november/","https://brakebee.com/events/579?from=oaf",28963,579,"Carefree AZ Fine Art and Wine Festival November"
"/events/carefree-fine-art-and-wine-festival/","https://brakebee.com/events/513?from=oaf",26571,513,"Carefree Fine Art and Wine Festival"
"/events/cave-creek-art-market/","https://brakebee.com/events/465?from=oaf",18121,465,"Cave Creek Art Market"
"/events/cave-creek-az-art-market/","https://brakebee.com/events/474?from=oaf",23981,474,"Cave Creek AZ Art Market"
"/events/cave-creek-fine-art-and-chocolate-affaire/","https://brakebee.com/events/436?from=oaf",14603,436,"Cave Creek Fine Art and Chocolate Affaire"
"/events/cave-creek-fine-art-and-wine-festival-2/","https://brakebee.com/events/516?from=oaf",26650,516,"Cave Creek Fine Art and Wine Festival"
"/events/cave-creek-fine-art-and-wine-festival-in-cave-creek-arizona/","https://brakebee.com/events/573?from=oaf",28913,573,"Cave Creek Fine Art and Wine Festival in Cave Creek Arizona"
"/events/cave-creek-fine-art-market/","https://brakebee.com/events/463?from=oaf",18036,463,"Cave Creek Fine Art Market"
"/events/cave-creek-indian-art-market/","https://brakebee.com/events/468?from=oaf",18134,468,"Cave Creek Indian Art Market"
"/events/cave-creek-indian-market/","https://brakebee.com/events/441?from=oaf",14608,441,"CAVE CREEK INDIAN MARKET"
"/events/cave-creek-sculpture-and-wine-festival/","https://brakebee.com/events/531?from=oaf",27133,531,"Cave Creek Sculpture and Wine Festival"
"/events/christmas-in-the-park/","https://brakebee.com/events/467?from=oaf",18130,467,"Christmas in the Park"
"/events/colorado-springs-co-garden-of-the-gods-art-festival/","https://brakebee.com/events/557?from=oaf",28235,557,"Colorado Springs CO Garden of the Gods Art Festival"
"/events/davenport-ia-beaux-arts-spring-art-festival/","https://brakebee.com/events/493?from=oaf",24735,493,"Davenport IA - Beaux Arts Spring Art Festival"
"/events/deerfield-art-festival-in-deerfield-illinois/","https://brakebee.com/events/532?from=oaf",27137,532,"Deerfield Art Festival In Deerfield Illinois"
"/events/dove-mountain-at-marana-az-kevins-art-attack/","https://brakebee.com/events/595?from=oaf",29084,595,"Dove Mountain at Marana AZ Kevins Art Attack"
"/events/edmond-arts-festival-edmond-ok/","https://brakebee.com/events/489?from=oaf",24561,489,"Edmond Arts Festival - Edmond OK"
"/events/evergreen-elk-arts-fest-a-fall-festival-in-colorado/","https://brakebee.com/events/552?from=oaf",27510,552,"Evergreen Elk and Arts Fest - A Fall Festival in Colorado"
"/events/evergreen-family-harvest-festival/","https://brakebee.com/events/453?from=oaf",14620,453,"Evergreen Family Harvest Festival"
"/events/evergreen-mountain-art-celebration/","https://brakebee.com/events/548?from=oaf",27402,548,"Evergreen Mountain Art Celebration"
"/events/excelsior-mn-excelsior-art-at-the-lake/","https://brakebee.com/events/491?from=oaf",24726,491,"Excelsior MN - Excelsior Art at the Lake"
"/events/fall-beaux-arts-fair/","https://brakebee.com/events/445?from=oaf",14612,445,"Fall Beaux Arts Fair"
"/events/fountain-hills-arts-and-crafts-festival/","https://brakebee.com/events/509?from=oaf",26499,509,"Fall Fountain Festival of Fine Arts & Crafts in Fountain Hills Arizona"
"/events/fall-waterfront-fine-art-and-wine-festival-in-scottsdale-az/","https://brakebee.com/events/580?from=oaf",28964,580,"Fall Waterfront Fine Art and Wine Festival in Scottsdale AZ"
"/events/festival-of-arts-at-summerlin/","https://brakebee.com/events/512?from=oaf",26539,512,"Festival of Arts at Summerlin"
"/events/historic-old-litchfield-road-is-the-setting-for-this-festival-of-arts-in-the-west-valley/","https://brakebee.com/events/508?from=oaf",26482,508,"Festival Of Arts In Litchfield Park"
"/events/fountain-festival-of-fine-arts-and-crafts/","https://brakebee.com/events/438?from=oaf",14605,438,"Fountain Festival of Fine Arts and Crafts"
"/events/glencoe-festival-of-arts/","https://brakebee.com/events/541?from=oaf",27247,541,"Glencoe Festival of Arts in Glencoe Illinois"
"/events/gold-canyon-az-kevins-art-attack/","https://brakebee.com/events/594?from=oaf",29081,594,"Gold Canyon AZ Kevins Art Attack"
"/events/gold-coast-art-fair/","https://brakebee.com/events/535?from=oaf",27159,535,"Gold Coast Art Fair - Chicago"
"/events/highlands-art-festival-denver-colorado/","https://brakebee.com/events/544?from=oaf",27266,544,"Highlands Art Festival-Denver Colorado"
"/events/highlands-art-festival-denver-colorado-2/","https://brakebee.com/events/544?from=oaf",29094,544,"Highlands Art Festival-Denver Colorado"
"/events/iowa-arts-festival-iowa-city-ia/","https://brakebee.com/events/490?from=oaf",24564,490,"Iowa Arts Festival - Iowa City IA"
"/events/iowa-city-summer-of-the-arts/","https://brakebee.com/events/495?from=oaf",24993,495,"Iowa City Summer of the Arts"
"/events/july-art-at-the-red-barn-in-heber-arizona/","https://brakebee.com/events/569?from=oaf",28796,569,"July Art at the Red Barn in Heber Arizona"
"/events/kensington-metropark-art-fair/","https://brakebee.com/events/429?from=oaf",14595,429,"Kensington Metropark Art Fair"
"/events/kevins-art-attack-arts-and-crafts-show-in-scottsdale-az/","https://brakebee.com/events/538?from=oaf",27203,538,"Kevin's Art Attack Arts and Crafts Show in Scottsdale AZ"
"/events/kevins-art-attack-arts-and-crafts-show-in-tucson/","https://brakebee.com/events/524?from=oaf",26831,524,"Kevin's Art Attack Arts and Crafts Show in Tucson"
"/events/kevins-art-attack-scottsdale/","https://brakebee.com/events/522?from=oaf",26758,522,"Kevin's Art Attack Scottsdale"
"/events/kevins-art-attack-dove-mountain-art-and-craft-show-in-marana-arizona/","https://brakebee.com/events/525?from=oaf",26891,525,"Kevins Art Attack - Dove Mountain Art and Craft Show in Marana Arizona"
"/events/kevins-art-attack-art-and-crafts-show-at-cave-creek-az/","https://brakebee.com/events/543?from=oaf",27263,543,"Kevins Art Attack Art and Crafts Show at Cave Creek AZ"
"/events/kevins-art-attack-arts-and-craft-show-in-scottsdale-az/","https://brakebee.com/events/529?from=oaf",27116,529,"Kevins Art Attack Arts and Craft Show in Scottsdale AZ"
"/events/kevins-art-attack-cave-creek-az/","https://brakebee.com/events/591?from=oaf",29075,591,"Kevins Art Attack Cave Creek AZ"
"/events/kevins-art-attack-in-gold-canyon-az/","https://brakebee.com/events/547?from=oaf",27331,547,"Kevins Art Attack in Gold Canyon AZ"
"/events/kevins-art-attack-in-oro-valley-az/","https://brakebee.com/events/593?from=oaf",29078,593,"Kevins Art Attack in Oro Valley AZ"
"/events/kevins-art-attack-an-arts-and-craft-show-in-gold-canyon-az/","https://brakebee.com/events/526?from=oaf",26980,526,"Kevins Art Attack, An Arts and Craft Show in Gold Canyon AZ"
"/events/scottsdales-number-one-art-festival-destination-kierland-commons-fine-art-and-wine-classic/","https://brakebee.com/events/507?from=oaf",26477,507,"Kierland Commons Fine Art and Wine Festival in Scottsdale"
"/events/kierland-commons-fine-art-and-wine-festival-in-scottsdale/","https://brakebee.com/events/507?from=oaf",28915,507,"Kierland Commons Fine Art and Wine Festival in Scottsdale"
"/events/kierland-fine-art-wine-festival-at-scottsdale/","https://brakebee.com/events/502?from=oaf",26346,502,"Kierland Fine Art and Wine Festival at Scottsdale"
"/events/kierland-fine-art-and-wine-festival-at-scottsdale/","https://brakebee.com/events/502?from=oaf",28911,502,"Kierland Fine Art and Wine Festival at Scottsdale"
"/events/lake-dillon-arts-festival/","https://brakebee.com/events/550?from=oaf",27497,550,"Lake Dillon Arts Festival"
"/events/lenexa-ks/","https://brakebee.com/events/558?from=oaf",28236,558,"Lenexa KS Art Fair"
"/events/lincolnshire-art-festival/","https://brakebee.com/events/537?from=oaf",27178,537,"Lincolnshire Art Festival, Lincolnshire Illinois"
"/events/litchfield-park-art-wine-festival/","https://brakebee.com/events/471?from=oaf",18146,471,"Litchfield Park Art &amp; Wine Festival"
"/events/litchfield-park-art-wine-festival-23rd-annual/","https://brakebee.com/events/456?from=oaf",14623,456,"Litchfield Park Art &amp; Wine Festival - 23rd Annual"
"/events/litchfield-park-az-art-wine-festival/","https://brakebee.com/events/479?from=oaf",24001,479,"Litchfield Park AZ Art &amp; Wine Festival"
"/events/litchfield-park-az-wigwam-festival-of-fine-art-2/","https://brakebee.com/events/478?from=oaf",23997,478,"Litchfield Park AZ Wigwam Festival of Fine Art"
"/events/litchfield-park-festival-of-arts/","https://brakebee.com/events/515?from=oaf",26633,515,"Litchfield Park Festival of Arts"
"/events/litchfield-park-festival-of-arts-50th-annual-2/","https://brakebee.com/events/459?from=oaf",14626,459,"Litchfield Park Festival of Arts - 50th Annual"
"/events/litchfield-park-festival-of-arts-50th-annual/","https://brakebee.com/events/439?from=oaf",14606,439,"LITCHFIELD PARK FESTIVAL OF ARTS – 50TH ANNUAL"
"/events/litchfield-park-festival-of-the-arts/","https://brakebee.com/events/464?from=oaf",18117,464,"Litchfield Park Festival of the Arts"
"/events/loveland-fine-art-sculpture-invitational/","https://brakebee.com/events/472?from=oaf",18154,472,"Loveland Fine Art &amp; Sculpture Invitational"
"/events/loveland-fine-art-invitational/","https://brakebee.com/events/443?from=oaf",14610,443,"LOVELAND FINE ART INVITATIONAL"
"/events/madison-wi-art-fair-on-the-square/","https://brakebee.com/events/563?from=oaf",28318,563,"Madison WI Art Fair on the Square"
"/events/millennium-art-festival-chicago/","https://brakebee.com/events/533?from=oaf",27141,533,"Millennium Art Festival, Chicago"
"/events/mothers-day-fine-art-festival-in-prescott-az/","https://brakebee.com/events/564?from=oaf",28335,564,"Mothers' Day Fine Art Festival in Prescott AZ"
"/events/mt-horeb-art-fair/","https://brakebee.com/events/498?from=oaf",25064,498,"Mt Horeb Art Fair"
"/events/northbrook-art-in-the-park-in-northbrook-illinois/","https://brakebee.com/events/527?from=oaf",26987,527,"Northbrook Art In The Park in Northbrook Illinois"
"/events/oconomowoc-festival-of-the-arts/","https://brakebee.com/events/582?from=oaf",28966,582,"Oconomowoc Festival of the Arts"
"/events/oconomowoc-wi-festival-of-the-arts/","https://brakebee.com/events/501?from=oaf",25140,501,"Oconomowoc WI Festival of the Arts"
"/events/omaha-ne-summer-arts-festival/","https://brakebee.com/events/556?from=oaf",28216,556,"Omaha NE Summer Arts Festival"
"/events/orange-city-ia-artburst/","https://brakebee.com/events/492?from=oaf",24732,492,"Orange City IA - ArtBurst"
"/events/oro-valley-festival-of-the-arts/","https://brakebee.com/events/517?from=oaf",26669,517,"Oro Valley  Festival of the Arts"
"/events/oro-valley-az-spring-festival-of-the-arts/","https://brakebee.com/events/554?from=oaf",28209,554,"Oro Valley AZ Spring Festival of the Arts"
"/events/palmer-park-art-festival/","https://brakebee.com/events/428?from=oaf",14594,428,"Palmer Park Art Festival"
"/events/park-hill-art-fest-in-denver-colorado/","https://brakebee.com/events/539?from=oaf",27207,539,"Park Hill Art Fest in Denver Colorado"
"/events/park-hill-art-fest-in-denver-colorado-2/","https://brakebee.com/events/539?from=oaf",29092,539,"Park Hill Art Fest in Denver Colorado"
"/events/pearl-street-arts-fest/","https://brakebee.com/events/566?from=oaf",28440,566,"Pearl Street Arts Fest"
"/events/safford-spring-festival/","https://brakebee.com/events/484?from=oaf",24289,484,"Safford Spring Festival"
"/events/salina-ks-smoky-hill-river-festival/","https://brakebee.com/events/562?from=oaf",28315,562,"Salina KS Smoky Hill River Festival"
"/events/san-tan-art-and-wine-festival-in-gilbert-az/","https://brakebee.com/events/545?from=oaf",27324,545,"San Tan Art and Wine Festival in Gilbert AZ"
"/events/san-tan-art-and-wine-festival-in-gilbert-az-2/","https://brakebee.com/events/545?from=oaf",28917,545,"San Tan Art and Wine Festival in Gilbert AZ"
"/events/scottsdale-az-kierland-fine-art-and-wine-classic/","https://brakebee.com/events/473?from=oaf",23971,473,"Scottsdale AZ -Kierland Fine Art and Wine Classic"
"/events/scottsdale-az-14th-annual-waterfront-fine-art-and-wine-festival/","https://brakebee.com/events/597?from=oaf",29088,597,"Scottsdale AZ 14th annual Waterfront Fine Art and Wine Festival"
"/events/scottsdale-az-kevins-art-attack/","https://brakebee.com/events/592?from=oaf",29076,592,"Scottsdale AZ Kevins Art Attack"
"/events/scottsdale-az-kierland-fine-art-wine-classic-2/","https://brakebee.com/events/476?from=oaf",23993,476,"Scottsdale AZ Kierland Fine Art &amp; Wine Classic"
"/events/sonoran-art-festival/","https://brakebee.com/events/475?from=oaf",23987,475,"Sonoran Art Festival"
"/events/sonoran-fine-art-and-wine-festival-returns-to-stage-coach-village/","https://brakebee.com/events/505?from=oaf",26426,505,"Sonoran Fine Art and Wine Festival in Cave Creek Arizona"
"/events/sonoran-fine-art-and-wine-festival-in-cave-creek-arizona/","https://brakebee.com/events/505?from=oaf",28912,505,"Sonoran Fine Art and Wine Festival in Cave Creek Arizona"
"/events/spring-carefree-fine-art-wine-festival/","https://brakebee.com/events/514?from=oaf",26575,514,"Spring Carefree Fine Art and Wine Festival"
"/events/spring-fountain-festival-of-fine-arts-crafts/","https://brakebee.com/events/510?from=oaf",26500,510,"Spring Fountain Festival of Fine Arts & Crafts in Fountain Hills AZ"
"/events/spring-green-art-fair/","https://brakebee.com/events/496?from=oaf",25038,496,"Spring Green Art Fair"
"/events/spring-green-wi-art-fair/","https://brakebee.com/events/561?from=oaf",28305,561,"Spring Green WI Art Fair"
"/events/spring-green-wi-art-fair-2/","https://brakebee.com/events/561?from=oaf",29102,561,"Spring Green Wi Art Fair"
"/events/spring-green-wi-arts-and-crafts-fair/","https://brakebee.com/events/480?from=oaf",24106,480,"Spring Green WI Arts and Crafts Fair"
"/events/spring-lincoln-roscoe-arts-and-crafts-fair-chicago/","https://brakebee.com/events/528?from=oaf",26992,528,"Spring Lincoln Roscoe Arts and Crafts Fair Chicago"
"/events/st-charles-il-fine-art-show/","https://brakebee.com/events/494?from=oaf",24754,494,"St Charles IL - Fine Art Show"
"/events/st-george-utah-art-festival/","https://brakebee.com/events/555?from=oaf",28210,555,"St George Utah Art Festival"
"/events/stage-coach-village-fine-art-and-wine-festival/","https://brakebee.com/events/596?from=oaf",29085,596,"Stage Coach Village Fine Art and Wine Festival Cave Creek AZ"
"/events/stagecoach-village-art-festival/","https://brakebee.com/events/442?from=oaf",14609,442,"STAGECOACH VILLAGE ART FESTIVAL"
"/events/stagecoach-village-art-on-the-plaza/","https://brakebee.com/events/440?from=oaf",14607,440,"Stagecoach Village Art On The Plaza"
"/events/stagecoach-village-fine-art-festival-11th-annual/","https://brakebee.com/events/460?from=oaf",14627,460,"Stagecoach Village Fine Art Festival – 11th Annual"
"/events/suite-art-columbus-oh/","https://brakebee.com/events/452?from=oaf",14619,452,"Suite Art Columbus, OH"
"/events/suite-art-troy-mi/","https://brakebee.com/events/451?from=oaf",14618,451,"Suite Art Troy, MI"
"/events/summerlin-nv-festival-of-arts/","https://brakebee.com/events/584?from=oaf",28977,584,"Summerlin NV Festival of Arts"
"/events/the-avon-arts-celebration/","https://brakebee.com/events/454?from=oaf",14621,454,"The Avon Arts Celebration"
"/events/the-park-hill-art-festival/","https://brakebee.com/events/433?from=oaf",14599,433,"The Park Hill Art Festival"
"/events/tubac-az-festival-of-the-arts-2/","https://brakebee.com/events/477?from=oaf",23995,477,"Tubac AZ Festival of the Arts"
"/events/tubac-az-festival-of-the-arts/","https://brakebee.com/events/520?from=oaf",26729,520,"Tubac AZ Festival of the Arts - Tubac AZ"
"/events/tubac-az-festival-of-the-arts-tubac-az/","https://brakebee.com/events/520?from=oaf",28914,520,"Tubac AZ Festival of the Arts - Tubac AZ"
"/events/tubac-festival-of-arts-62nd-annual-cancelled/","https://brakebee.com/events/458?from=oaf",14625,458,"Tubac Festival of Arts - 62nd Annual **CANCELLED**"
"/events/tubac-fine-art-wine-fiesta/","https://brakebee.com/events/466?from=oaf",18126,466,"Tubac Fine Art &amp; Wine Fiesta"
"/events/tucson-made-in-tucson-market/","https://brakebee.com/events/482?from=oaf",24286,482,"Tucson Made in Tucson Market"
"/events/tucson-museum-of-art-spring-artisan-market/","https://brakebee.com/events/481?from=oaf",24285,481,"Tucson Museum of Art Spring Artisan Market"
"/events/cave-creek-fine-art-and-wine-festival/","https://brakebee.com/events/506?from=oaf",26440,506,"Vermillion Promotion's Fine Art and Wine Festival in Cave Creek Arizona"
"/events/waterfront-fine-art-and-wine-festival/","https://brakebee.com/events/521?from=oaf",26750,521,"WaterFront Fine Art and Wine Festival"
"/events/white-fish-bay-art-fest-in-white-fish-bay-wisconsin/","https://brakebee.com/events/540?from=oaf",27233,540,"White Fish Bay Art Fest in White Fish Bay Wisconsin"
"/events/wichita-ks-art-autumn-festival/","https://brakebee.com/events/587?from=oaf",29013,587,"Wichita KS Art &amp; Autumn Festival"
"/events/wigwam-festival-of-fine-art-3/","https://brakebee.com/events/470?from=oaf",26726,470,"Wigwam Festival of Fine Art"
"/events/wigwam-festival-of-fine-art-2/","https://brakebee.com/events/470?from=oaf",26728,470,"Wigwam Festival of Fine Art"
"/events/wigwam-festival-of-fine-art/","https://brakebee.com/events/470?from=oaf",18142,470,"Wigwam Festival of Fine Art"
"/events/wigwam-festival-of-fine-art-11th-annual/","https://brakebee.com/events/457?from=oaf",14624,457,"Wigwam Festival of Fine Art - 11th Annual"
"/events/wigwam-festival-of-fine-art-litchfield-park-az/","https://brakebee.com/events/576?from=oaf",28916,576,"Wigwam Festival of Fine Art - Litchfield Park AZ"
"/events/a-celebration-of-artistic-excellence-at-the-wigwam-resort-in-litchfield-park-arizona/","https://brakebee.com/events/504?from=oaf",26423,504,"Wigwam Festival of Fine Art In Litchfield Park"
"/events/wigwam-holiday-festival-of-arts-litchfield-park-az/","https://brakebee.com/events/578?from=oaf",28962,578,"Wigwam Holiday Festival of Arts Litchfield Park AZ"